Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
R5	16.230	41.010	90.000	4.7K	R0603	BOTTOM
C14	18.130	41.736	270.000	100nF	C0603	BOTTOM
R3	14.325	41.021	90.000	4.7K	R0603	BOTTOM
C9	14.614	43.601	180.000	10uF	C0603	BOTTOM
R8	7.411	10.647	270.000	1K	R0603	BOTTOM
R13	13.957	21.806	180.000	20	R0603	BOTTOM
C4	4.930	21.721	0.000	10uF	C0603	BOTTOM
R20	16.865	6.551	180.000	10K	R0603	BOTTOM
R22	13.789	6.551	0.000	30.1K	R0603	BOTTOM
C8	13.789	9.388	180.000	820pF	C0603	BOTTOM
C3	19.644	4.086	180.000	10uF	C0603	TOP
R1	17.870	17.969	180.000	1K	R0603	BOTTOM
R12	12.715	19.167	180.000	1K	R0603	BOTTOM
Q4	15.583	24.866	0.000	DMN2050L	SOT23	BOTTOM
Q1	11.983	24.854	0.000	2N7002	SOT23	BOTTOM
C5	23.906	12.106	0.000	10uF	C0603	TOP
C32	25.130	17.970	180.000	33pF	C0603	BOTTOM
R9	8.134	29.203	180.000	1K	R0603	BOTTOM
L1	21.293	8.029	180.000	8.2uH	XAL50	TOP
U4	16.393	6.347	180.000	LM2735XMF/NOPB	SOT23_5	TOP
R19	16.355	5.019	0.000	10K	R0402	BOTTOM
D3	14.615	9.697	0.000	B220A-13-F	SMA	TOP
C10	13.663	5.697	270.000	22uF	C0805	TOP
R32	17.741	30.029	180.000	20	R0603	BOTTOM
R31	24.494	30.093	180.000	20	R0603	BOTTOM
Q8	25.189	32.697	0.000	DMN2050L	SOT23	BOTTOM
Q9	18.436	32.687	0.000	DMN2050L	SOT23	BOTTOM
C17	11.861	37.787	0.000	100nF	C0603	BOTTOM
R16	17.917	44.804	270.000	1.5K	R0603	BOTTOM
C15	9.581	50.143	0.000	100nF	C0603	BOTTOM
C7	23.292	55.568	180.000	100nF	C0603	TOP
C21	17.963	56.730	0.000	100nF	C0603	BOTTOM
U7	18.710	55.371	0.000	MPU9250	QFN24E_040_300_300_100	TOP
R11	4.740	51.637	270.000	10K	R0603	BOTTOM
SW1	2.118	52.472	270.000	B3U-3000P	B3U_3000P	BOTTOM
R14	30.917	32.629	270.000	33K	R0603	BOTTOM
C24	29.117	32.626	270.000	100nF	C0603	BOTTOM
R30	29.123	29.749	90.000	12K	R0603	BOTTOM
R26	27.997	23.144	180.000	200K	R0603	BOTTOM
C26	27.997	21.325	180.000	10nF	C0603	BOTTOM
R23	27.972	19.473	180.000	33.2K	R0603	TOP
R25	22.241	16.154	180.000	340K	R0603	BOTTOM
R27	22.241	14.354	0.000	200K	R0603	BOTTOM
R18	22.232	17.977	180.000	1K	R0603	BOTTOM
J9	21.786	30.095	90.000	JUMPER 2PTS	BAR02P2.54/W2.54	TOP
C11	20.385	53.450	90.000	10nF	C0603	BOTTOM
R10	11.840	53.009	180.000	2.4K	R0402	BOTTOM
R4	11.840	51.796	180.000	2.4K	R0402	BOTTOM
C18	20.849	47.762	270.000	100nF	C0603	BOTTOM
C22	30.734	51.168	270.000	100nF	C0603	BOTTOM
U2	7.599	19.310	0.000	DRV8835DSSR	WSON_050_310_210_80	TOP
C6	7.809	19.279	270.000	10uF	C0603	BOTTOM
C12	4.453	19.394	90.000	100nF	C0603	BOTTOM
J2	5.070	10.889	90.000	MICROMATCH-6	AMP7-188275-6	TOP
J6	35.015	26.435	90.000	JUMPER 2PTS	BAR02P2.54/W2.54	TOP
J5	36.189	38.807	270.000	MOL-47346-0001	MOL-47346-0001	BOTTOM
J3	15.655	21.134	90.000	MICROMATCH-6	AMP7-188275-6	TOP
Q3	18.493	21.110	0.000	2N7002	SOT23	BOTTOM
C31	27.320	12.452	180.000	220pF	C0603	TOP
R29	27.320	14.260	0.000	12.1K	R0603	TOP
C13	21.605	16.890	90.000	22uF	C0805	TOP
U8	24.605	17.023	180.000	LTC3530EMS	MS10_050_30_30_110	TOP
L2	24.781	24.057	270.000	8.2uH	XAL50	TOP
J1	5.097	29.943	90.000	MICROMATCH-6	AMP7-188275-6	TOP
J10	15.005	30.095	90.000	JUMPER 2PTS	BAR02P2.54/W2.54	TOP
U6	15.206	43.251	270.000	STM32F302R6T6	LQFP064_050_1215_1215_160	TOP
C20	4.252	40.265	90.000	18pF	C0603	BOTTOM
C19	4.266	48.240	270.000	18pF	C0603	BOTTOM
QZ1	4.247	44.273	270.000	8 MHz	SM49US	TOP
J7	34.196	22.361	180.000	MOL22-05-3031	MOL22-05-3031	TOP
J12	28.758	56.303	0.000	BARETTE_4P_2.54_COUDEE	BAR04P2.54/COUDEE	TOP
J11	1.719	56.238	0.000	BARETTE_4P_2.54_COUDEE	BAR04P2.54/COUDEE	TOP
J4	32.827	47.783	90.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
