Ref Des	Quantity	Value	Part Label	Part Number	Description	Distributor code	Option	Cell	Place
R13	1	20 	RES_20_0603	00-0033	Resistor 20 ohms / 5% / case 0603	 	 	 	 
R31	1	20 	RES_20_0603	00-0033	Resistor 20 ohms / 5% / case 0603	 	 	 	 
R32	1	20 	RES_20_0603	00-0033	Resistor 20 ohms / 5% / case 0603	 	 	 	 
R8	1	1K 	RES_1.0k_0603	00-0074	Resistor 1.0k ohms / 5% / case 0603	Fa : 9331697	 	 	 
R9	1	1K 	RES_1.0k_0603	00-0074	Resistor 1.0k ohms / 5% / case 0603	Fa : 9331697	 	 	 
R18	1	1K 	RES_1.0k_0603	00-0074	Resistor 1.0k ohms / 5% / case 0603	Fa : 9331697	 	 	 
R16	1	1.5K 	RES_1.5k_0603	00-0078	Resistor 1.5k ohms / 5% / case 0603	RS : 322-9377	 	 	 
R3	1	4.7K 	RES_4.7k_0603	00-0090	Resistor 4.7k ohms / 5% / case 0603	RS : 322-9440	 	 	 
R5	1	4.7K 	RES_4.7k_0603	00-0090	Resistor 4.7k ohms / 5% / case 0603	RS : 322-9440	 	 	 
R11	1	10K 	RES_10k_0603	00-0098	Resistor 10k ohms / 5% / case 0603	Fa : 9331700	 	 	 
R30	1	12K 	RES_12k_0603	00-0100	Resistor 12k ohms / 5% / case 0603	 	 	 	 
R14	1	33K 	RES_33k_0603	00-0110	Resistor 33k ohms / 5% / case 0603	 	 	 	 
R26	1	200K 	RES_200k_0603	00-0129	Resistor 200k ohms / 5% / case 0603	 	 	 	 
R27	1	200K 	RES_200k_0603	00-0129	Resistor 200k ohms / 5% / case 0603	 	 	 	 
R1	1	1K 	RES_1.00k_0603	01-0289	Resistor 1.00k ohms / 1% / case 0603	 	 	 	 
R12	1	1K 	RES_1.00k_0603	01-0289	Resistor 1.00k ohms / 1% / case 0603	 	 	 	 
R20	1	10K 	RES_10.0k_0603	01-0385	Resistor 10.0k ohms / 1% / case 0603	Fa : 9330399	 	 	 
R29	1	12.1K 	RES_12.1k_0603	01-0393	Resistor 12.1k ohms / 1% / case 0603	 	 	 	 
R22	1	30.1K 	RES_30.1k_0603	01-0431	Resistor 30.1k ohms / 1% / case 0603	 	 	 	 
R23	1	33.2K 	RES_33.2k_0603	01-0435	Resistor 33.2k ohms / 1% / case 0603	 	 	 	 
R25	1	340K 	RES_340k_0603	01-0532	Resistor 340k ohms / 1% / case 0603	 	 	 	 
R4	1	2.4K 	RES_2.4k_0402	02-0083	Resistor 2.4k ohms / 1% / case 0402	RS : 322-9484	 	 	 
R10	1	2.4K 	RES_2.4k_0402	02-0083	Resistor 2.4k ohms / 1% / case 0402	RS : 322-9484	 	 	 
R19	1	10K 	RES_10k_0402	02-0098	Resistor 10k ohms / 1% / case 0402	Fa : 1117284	 	 	 
C11	1	10nF	CAP C0603 10nF X7R 50V	10-0011	Capacitor Ceramic C0G / 10nF / 50V / ±5% / case 0603	Fa : 2456107	 	 	 
C26	1	10nF	CAP C0603 10nF X7R 50V	10-0011	Capacitor Ceramic C0G / 10nF / 50V / ±5% / case 0603	Fa : 2456107	 	 	 
C19	1	18pF	CAP C0603 18pF COG 10V	10-0030	Capacitor Ceramic 18pF / 10V / ±20% / case 0603	RS : 211-3164	 	 	 
C20	1	18pF	CAP C0603 18pF COG 10V	10-0030	Capacitor Ceramic 18pF / 10V / ±20% / case 0603	RS : 211-3164	 	 	 
C31	1	220pF	CAP C0603 220pF NPO 50V	10-0040	Capacitor Ceramic 220pF / NPO / 50V / ±5% / case 0603	Fa : 498579	 	 	 
C32	1	33pF	CAP C0603 33pF NPO 50V	10-0054	Capacitor Ceramic 33pF / NPO / 50V / ±5% / case 0603	Fa : 722029	 	 	 
C18	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C7	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C21	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C22	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C24	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C12	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C14	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C15	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C17	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 	 
C8	1	820pF	CAP C0603 820pF NP0 50V	10-0100	Capacitor Ceramic 820pF / NP0 / 50V / ±5% / case 0603	Fa : 2210791	 	 	 
C6	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 	 
C5	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 	 
C4	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 	 
C9	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 	 
C3	1	10uF	CAP C0603 10uF X5R 6.3V	10-0103	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	Fa : 1759393 	 	 	 
C10	1	22uF	CAP C0805 22uF X5R 10V	10-0111	Capacitor Ceramic X5R / 22uF / 10V / ±20% / case 0805	Fa : 2494270	 	 	 
C13	1	22uF	CAP C0805 22uF X5R 10V	10-0111	Capacitor Ceramic X5R / 22uF / 10V / ±20% / case 0805	Fa : 2494270	 	 	 
D3	1	 	B220A-13-F	20-0064	Schottky diode, Imoy=2A, Vf=0.5V, Vr=20V, Diodes Inc B220A-13-F, case SMA	Fa : 1858604	 	 	 
Q1	1	 	2N7002	30-0004	Basic N-Channel MOSFET, 2N7002, case SOT23	Fa : 1021754	 	 	 
Q3	1	 	2N7002	30-0004	Basic N-Channel MOSFET, 2N7002, case SOT23	Fa : 1021754	 	 	 
Q4	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 	 
Q8	1	 	DMN2050L	30-0019	N-Channel MOSFET, 5.9A, 0.024ohms, Diodes Inc DMN2050L , case SOT23	Fa : 2061409 	 	 	 
