Part	Value	Device	Package	Description	Description2	Quantity	Place_YES/NO	Provided	Distributor	Ordernumber	Weblink	Remarks_customer	Part Number
J11,J12	 	BARETTE_4P_2.54_COUDEE	 	Embase mâle une rangée 4 points coudée, pas 2.54mm, à piquer, Multicomp MC34749	 	2	 	 	Fa : 1593428	Fa : 1593428	 	 	70-0060
SW1	 	B3U-3000P	 	Button Switch latéral / 2 pins / SMD / Omron B3U-3000P	 	1	 	 	Fa : 1333655	Fa : 1333655	 	 	80-0035
D3	 	B220A-13-F	 	Schottky diode, Imoy=2A, Vf=0.5V, Vr=20V, Diodes Inc B220A-13-F, case SMA	 	1	 	 	Fa : 1858604	Fa : 1858604	 	 	20-0064
C11,C26	10nF	CAP C0603 10nF X7R 50V	 	Capacitor Ceramic C0G / 10nF / 50V / ±5% / case 0603	 	2	 	 	Fa : 2456107	Fa : 2456107	 	 	10-0011
C3,C4,C5,C6,C9	10uF	CAP C0603 10uF X5R 6.3V	 	Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603	 	5	 	 	Fa : 1759393 	Fa : 1759393 	 	 	10-0103
C19,C20	18pF	CAP C0603 18pF COG 10V	 	Capacitor Ceramic 18pF / 10V / ±20% / case 0603	 	2	 	 	RS : 211-3164	RS : 211-3164	 	 	10-0030
C32	33pF	CAP C0603 33pF NPO 50V	 	Capacitor Ceramic 33pF / NPO / 50V / ±5% / case 0603	 	1	 	 	Fa : 722029	Fa : 722029	 	 	10-0054
C7,C12,C14,C15,C17,C18,C21,C22,C24	100nF	CAP C0603 100nF X7R 16V	 	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	 	9	 	 	Fa : 1414027	Fa : 1414027	 	 	10-0057
C31	220pF	CAP C0603 220pF NPO 50V	 	Capacitor Ceramic 220pF / NPO / 50V / ±5% / case 0603	 	1	 	 	Fa : 498579	Fa : 498579	 	 	10-0040
C8	820pF	CAP C0603 820pF NP0 50V	 	Capacitor Ceramic 820pF / NP0 / 50V / ±5% / case 0603	 	1	 	 	Fa : 2210791	Fa : 2210791	 	 	10-0100
C10,C13	22uF	CAP C0805 22uF X5R 10V	 	Capacitor Ceramic X5R / 22uF / 10V / ±20% / case 0805	 	2	 	 	Fa : 2494270	Fa : 2494270	 	 	10-0111
