
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0033                          R13                               44   1      1   1   1 1           1 0 IR_LED_ADAPTED      (2986-5-13)
00-0033                          R13                               44   1      2   1   1 2           2 0 XSIG020157          (2986-4-13)
00-0033                          R31                               46   1      1   1   1 1           1 0 IR_LED_L_ADAPTED    (3201-1-13)
00-0033                          R31                               46   1      2   1   1 2           2 0 XSIG020166          (3201-3-13)
00-0033                          R32                               45   1      1   1   1 1           1 0 IR_LED_R_ADAPTED    (3201-2-13)
00-0033                          R32                               45   1      2   1   1 2           2 0 XSIG020170          (3201-5-13)
00-0074                          R8                                52   1      1   1   1 1           1 0 XSIG020142          (2950-3-13)
00-0074                          R8                                52   1      2   1   1 2           2 0 INFRA_LED_R         (2907-9-13)
00-0074                          R9                                51   1      1   1   1 1           1 0 XSIG020140          (2950-2-13)
00-0074                          R9                                51   1      2   1   1 2           2 0 INFRA_LED_L         (2907-8-13)
00-0074                          R18                               50   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0074                          R18                               50   1      2   1   1 2           2 0 XSIG030157          (3125-18-13)
00-0078                          R16                               30   1      1   1   1 1           1 0 USB_CONNECT         (3773-1-13)
00-0078                          R16                               30   1      2   1   1 2           2 0 USB_DP              (2907-35-13)
00-0090                          R3                                63   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0090                          R3                                63   1      2   1   1 2           2 0 INFRA_TRA_L         (2907-19-13)
00-0090                          R5                                64   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0090                          R5                                64   1      2   1   1 2           2 0 INFRA_TRA_R         (2907-20-13)
00-0098                          R11                               65   1      1   1   1 1           1 0 XSIG011041          (3218-3-13)
00-0098                          R11                               65   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0100                          R30                               40   1      1   1   1 1           1 0 VBAT_PROBE          (3125-2-13)
00-0100                          R30                               40   1      2   1   1 2           2 0 VBAT                (3792-2-13)
00-0110                          R14                               47   1      1   1   1 1           1 0 VBAT_PROBE          (3125-2-13)
00-0110                          R14                               47   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0129                          R26                               54   1      1   1   1 1           1 0 XSIG030147          (3125-13-13)
00-0129                          R26                               54   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0129                          R27                               55   1      1   1   1 1           1 0 XSIG030154          (3125-15-13)
00-0129                          R27                               55   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0289                          R1                                23   1      1   1   1 1           1 0 VCC5                (2986-3-13)
01-0289                          R1                                23   1      2   1   1 2           2 0 LED_CK_5V           (2986-1-13)
01-0289                          R12                               24   1      1   1   1 1           1 0 VCC5                (2986-3-13)
01-0289                          R12                               24   1      2   1   1 2           2 0 LED_DO_5V           (2986-2-13)
01-0385                          R20                               39   1      1   1   1 1           1 0 XSIG030172          (3218-5-13)
01-0385                          R20                               39   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0393                          R29                               56   1      1   1   1 1           1 0 XSIG030155          (3125-16-13)
01-0393                          R29                               56   1      2   1   1 2           2 0 XSIG030156          (3125-17-13)
01-0431                          R22                               67   1      1   1   1 1           1 0 XSIG030172          (3218-5-13)
01-0431                          R22                               67   1      2   1   1 2           2 0 VCC5                (2986-3-13)
01-0435                          R23                               72   1      1   1   1 1           1 0 XSIG030149          (3125-14-13)
01-0435                          R23                               72   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0532                          R25                               53   1      1   1   1 1           1 0 VCC                 (43-2-13)
01-0532                          R25                               53   1      2   1   1 2           2 0 XSIG030154          (3125-15-13)
02-0083                          R4                                25   1      1   1   1 1           1 0 VCC                 (43-2-13)
02-0083                          R4                                25   1      2   1   1 2           2 0 MPU_I2C_SDA         (2907-39-13)
02-0083                          R10                               26   1      1   1   1 1           1 0 VCC                 (43-2-13)
02-0083                          R10                               26   1      2   1   1 2           2 0 MPU_I2C_SCL         (2907-38-13)
02-0098                          R19                               49   1      1   1   1 1           1 0 VBAT                (3792-2-13)
02-0098                          R19                               49   1      2   1   1 2           2 0 XSIG030189          (3218-7-13)
10-0011                          C11                               28   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0011                          C11                               28   1      2   1   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0011                          C26                               27   1      1   1   1 1           1 0 XSIG030147          (3125-13-13)
10-0011                          C26                               27   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0030                          C19                               61   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0030                          C19                               61   1      2   1   1 2           2 0 XSIG011022          (3218-2-13)
10-0030                          C20                               62   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0030                          C20                               62   1      2   1   1 2           2 0 XSIG011020          (3218-1-13)
10-0040                          C31                               57   1      1   1   1 1           1 0 XSIG030154          (3125-15-13)
10-0040                          C31                               57   1      2   1   1 2           2 0 XSIG030155          (3125-16-13)
10-0054                          C32                               58   1      1   1   1 1           1 0 XSIG030157          (3125-18-13)
10-0054                          C32                               58   1      2   1   1 2           2 0 XSIG030154          (3125-15-13)
10-0057                          C7                                13   1      1   1   1 1           1 0 XSIG040009          (3837-2-13)
10-0057                          C7                                13   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C12                               18   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C12                               18   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C14                               17   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C14                               17   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C15                               16   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C15                               16   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C16                               22   1      1   1   1 1           1 0 VCC                 (43-2-13)
