
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0057                          C2                                 3   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C2                                 3   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C1                                 2   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C1                                 2   1      2   1   1 2           2 0 GND                 (43-1-13)
70-0060                          J1                                 4   1      1   1   1 1           1 0 DWM_WAKEUP          (3031-5-13)
70-0060                          J1                                 4   1      2   2   1 2           2 0 VCC                 (43-2-13)
70-0060                          J1                                 4   1      3   3   1 3           3 0 DWM_SPI_CSn         (2907-2-13)
70-0060                          J1                                 4   1      4   4   1 4           4 0 DWM_SPI_MOSI        (2907-5-13)
70-0060                          J2                                 5   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0060                          J2                                 5   1      2   2   1 2           2 0 DWM_SPI_MISO        (2907-4-13)
70-0060                          J2                                 5   1      3   3   1 3           3 0 DWM_SPI_CLK         (2907-3-13)
70-0060                          J2                                 5   1      4   4   1 4           4 0 DWM_IRQ             (2907-6-13)
80-0067                          U1                                 1   1      1   1   1 1           1 0                     (0-0-0)
80-0067                          U1                                 1   1      2   2   1 15         15 0                     (0-0-0)
80-0067                          U1                                 1   1      3   3   1 14         14 0                     (0-0-0)
80-0067                          U1                                 1   1      4   4   1 13         13 0                     (0-0-0)
80-0067                          U1                                 1   1      5   5   1 12         12 0                     (0-0-0)
80-0067                          U1                                 1   1      6   6   1 11         11 0                     (0-0-0)
80-0067                          U1                                 1   1      7   7   1 10         10 0                     (0-0-0)
80-0067                          U1                                 1   1      8   8   1 9           9 0                     (0-0-0)
80-0067                          U1                                 1   1      9   9   1 4           4 0                     (0-0-0)
80-0067                          U1                                 1   1     10  10   1 22         22 0 DWM_IRQ             (2907-6-13)
80-0067                          U1                                 1   1     11  11   1 3           3 0                     (0-0-0)
80-0067                          U1                                 1   1     12  12   1 20         20 0 DWM_SPI_CLK         (2907-3-13)
80-0067                          U1                                 1   1     13  13   1 17         17 0 DWM_SPI_CSn         (2907-2-13)
80-0067                          U1                                 1   1     14  14   1 19         19 0 DWM_SPI_MISO        (2907-4-13)
80-0067                          U1                                 1   1     15  15   1 18         18 0 DWM_SPI_MOSI        (2907-5-13)
80-0067                          U1                                 1   1     16  16   1 5           5 0 VCC                 (43-2-13)
80-0067                          U1                                 1   1     17  17   1 2           2 0 DWM_WAKEUP          (3031-5-13)
80-0067                          U1                                 1   2      1   1   2 7           7 0 VCC                 (43-2-13)
80-0067                          U1                                 1   2      1   1   3 6           6 0 VCC                 (43-2-13)
80-0067                          U1                                 1   3      1   1   4 24         24 0 GND                 (43-1-13)
80-0067                          U1                                 1   3      1   1   5 23         23 0 GND                 (43-1-13)
80-0067                          U1                                 1   3      1   1   6 21         21 0 GND                 (43-1-13)
80-0067                          U1                                 1   3      1   1   7 16         16 0 GND                 (43-1-13)
80-0067                          U1                                 1   3      1   1   8 8           8 0 GND                 (43-1-13)
